policy_loss,approxkl,time_elapsed,serial_timesteps,nupdates,eplenmean,eprewmean,total_timesteps,explained_variance,fps,policy_entropy,clipfrac,value_loss,score
-0.00682354,0.0104534,78127.07949280739,266240,130,192.62,89.26696351,4259840,0.9940378828905523,32,20.0049,0.1465,0.226801,89.2669635024
-0.00736638,0.0110443,79061.37918257713,268288,131,186.54,87.95559991,4292608,0.995813790243119,35,19.9841,0.159641,0.157417,87.9555998937
-0.00772815,0.0108173,80004.98282957077,270336,132,186.54,88.04259174,4325376,0.9957681489177048,34,19.9449,0.154263,0.15562,88.0425917954
-0.0072262,0.0115667,81021.07500863075,272384,133,188.92,88.751635,4358144,0.9963482131715864,32,19.8928,0.16589,0.133346,88.7516349763
-0.00782627,0.0114953,82001.21045637131,274432,134,189.22,89.84466082,4390912,0.9968928701709956,33,19.8009,0.162488,0.119578,89.8446608427
-0.00769859,0.0115033,83085.35785245895,276480,135,185.68,88.20398998,4423680,0.9962440410163254,30,19.7103,0.166214,0.137606,88.2039900037
-0.00701516,0.0109039,84030.12524485588,278528,136,194.62,94.38078656,4456448,0.9951096349395812,34,19.6418,0.155753,0.207792,94.3807865374
-0.00697808,0.0109019,84983.7559223175,280576,137,201.25,98.35114324,4489216,0.9938878458924592,34,19.6059,0.153058,0.271112,98.351143229
-0.00748883,0.0106358,86056.03207230568,282624,138,205.24,100.9401223,4521984,0.9938570694066584,30,19.5672,0.149936,0.291727,100.940122283
-0.0064105,0.0114127,87008.54535245895,284672,139,215.6,109.37153866,4554752,0.9934175815433264,34,19.5353,0.1595,0.344861,109.371538628
-0.00703469,0.0105397,88011.18281936646,286720,140,218.05,109.41562513,4587520,0.9910999340936542,32,19.4496,0.147147,0.453348,109.415625195
-0.00676945,0.0109892,89043.85432004929,288768,141,223.39,114.98167692,4620288,0.9880971247330308,31,19.461,0.153748,0.643057,114.981676913
-0.00568339,0.0105534,89904.25340151787,290816,142,222.67,113.42825664,4653056,0.9885667320340872,38,19.481,0.149078,0.696976,113.428256674
-0.00720664,0.0113965,90725.79015231133,292864,143,221.21,113.85260596,4685824,0.9896689793094993,39,19.4413,0.161673,0.647882,113.852605973
-0.00552994,0.0104234,91425.84350943565,294912,144,223.3,118.25114681,4718592,0.990679731592536,46,19.4205,0.146991,0.61051,118.251146776
-0.005882,0.0102906,92183.92348647118,296960,145,227.31,121.42651342,4751360,0.9889966771006584,43,19.3916,0.143872,0.737177,121.426513433
-0.0060053,0.0113122,92915.71097254753,299008,146,225.4,122.83911129,4784128,0.9903076123446226,44,19.4072,0.158084,0.689244,122.839111318
-0.00663987,0.0111107,93748.56625270844,301056,147,218.24,118.36501005,4816896,0.9920235946774483,39,19.3682,0.159277,0.532726,118.365010043
-0.00652915,0.0115208,94493.36179065704,303104,148,219.05,119.76609623,4849664,0.9935964616015553,43,19.3337,0.164108,0.449495,119.766096197
-0.00621763,0.0113309,95294.81508803368,305152,149,220.17,120.35993469,4882432,0.9936024066992104,40,19.3111,0.162241,0.452641,120.359934686
-0.00568933,0.0116242,95994.07953381538,307200,150,226.78,126.08393146,4915200,0.9935404323041439,46,19.2986,0.165051,0.510501,126.083931534
